date,available_cash,frozen_cash,positions_value,total_value,positions
2025-03-07,-3655.5199999999604,-2.3283064365386963e-10,1134085.0,1130429.48,"{'600133.XSHG': {'total_amount': 33300, 'avg_cost': 10.62, 'price': np.float64(10.54)}, '603118.XSHG': {'total_amount': 60100, 'avg_cost': 13.34, 'price': np.float64(13.03)}}"
2025-03-10,771226.8200000001,-2.3283064365386963e-10,349650.0,1120876.82,"{'600133.XSHG': {'total_amount': 33300, 'avg_cost': 10.62, 'price': np.float64(10.5)}}"
2025-03-11,352387.95000000007,-1.7462298274040222e-10,784647.0,1137034.9500000002,"{'600288.XSHG': {'total_amount': 25300, 'avg_cost': 10.01, 'price': np.float64(10.19)}, '000818.XSHE': {'total_amount': 8200, 'avg_cost': 31.4, 'price': np.float64(31.5)}, '002795.XSHE': {'total_amount': 46300, 'avg_cost': 5.66, 'price': np.float64(5.8)}}"
2025-03-12,1158969.0300000003,-1.7462298274040222e-10,0.0,1158969.0300000003,{}
2025-03-13,-2120.1899999997113,-2.3283064365386963e-10,1167744.0,1165623.8100000003,"{'600399.XSHG': {'total_amount': 55300, 'avg_cost': 6.3, 'price': np.float64(6.52)}, '000409.XSHE': {'total_amount': 17500, 'avg_cost': 15.42, 'price': np.float64(15.5)}, '000815.XSHE': {'total_amount': 19100, 'avg_cost': 14.51, 'price': np.float64(13.13)}, '600610.XSHG': {'total_amount': 53500, 'avg_cost': 4.96, 'price': np.float64(5.33)}}"
2025-03-14,919525.1000000002,-2.3283064365386963e-10,275804.0,1195329.1,"{'000815.XSHE': {'total_amount': 19100, 'avg_cost': 14.51, 'price': np.float64(14.44)}}"
2025-03-17,13218.290000000154,-2.3283064365386963e-10,1202768.0,1215986.29,"{'000815.XSHE': {'total_amount': 19100, 'avg_cost': 14.51, 'price': np.float64(15.88)}, '002361.XSHE': {'total_amount': 131500, 'avg_cost': 6.89, 'price': np.float64(6.84)}}"
2025-03-18,322657.91000000015,-2.3283064365386963e-10,901513.0,1224170.9100000001,"{'002361.XSHE': {'total_amount': 131500, 'avg_cost': 6.89, 'price': np.float64(6.76)}, '001339.XSHE': {'total_amount': 100, 'avg_cost': 64.16, 'price': np.float64(62.73)}, '002115.XSHE': {'total_amount': 700, 'avg_cost': 9.02, 'price': np.float64(9.0)}}"
2025-03-19,4902.570000000155,-2.1827872842550278e-10,1237424.0,1242326.5700000003,"{'002361.XSHE': {'total_amount': 131500, 'avg_cost': 6.89, 'price': np.float64(6.98)}, '002115.XSHE': {'total_amount': 700, 'avg_cost': 9.02, 'price': np.float64(8.9)}, '603259.XSHG': {'total_amount': 1500, 'avg_cost': 69.69, 'price': np.float64(70.0)}, '000815.XSHE': {'total_amount': 6500, 'avg_cost': 17.05, 'price': np.float64(15.75)}, '603912.XSHG': {'total_amount': 10100, 'avg_cost': 10.74, 'price': np.float64(10.49)}}"
2025-03-20,1166566.2600000002,-2.1827872842550278e-10,100620.0,1267186.2600000002,"{'000815.XSHE': {'total_amount': 6500, 'avg_cost': 17.05, 'price': np.float64(15.48)}}"
2025-03-21,105235.80000000019,-4.0745362639427185e-10,1145294.0,1250529.8000000003,"{'002544.XSHE': {'total_amount': 31900, 'avg_cost': 24.43, 'price': np.float64(24.14)}, '601799.XSHG': {'total_amount': 2800, 'avg_cost': 136.53, 'price': np.float64(134.01)}}"
2025-03-24,1165226.5400000003,-4.0745362639427185e-10,97712.0,1262938.5400000003,"{'600960.XSHG': {'total_amount': 24800, 'avg_cost': 4.24, 'price': np.float64(3.94)}}"
2025-03-25,108320.89000000028,-3.4924596548080444e-10,1281456.0,1389776.8900000001,"{'603688.XSHG': {'total_amount': 12000, 'avg_cost': 32.37, 'price': np.float64(34.61)}, '002165.XSHE': {'total_amount': 143400, 'avg_cost': 5.35, 'price': np.float64(6.04)}}"
2025-03-26,1331925.7700000003,-3.41970007866621e-10,105562.0,1437487.7700000003,"{'002655.XSHE': {'total_amount': 2300, 'avg_cost': 15.43, 'price': np.float64(15.5)}, '000422.XSHE': {'total_amount': 2300, 'avg_cost': 15.81, 'price': np.float64(15.36)}, '000733.XSHE': {'total_amount': 600, 'avg_cost': 55.38, 'price': np.float64(57.64)}}"
2025-03-27,966100.0800000002,-3.4924596548080444e-10,461994.0,1428094.08,"{'000422.XSHE': {'total_amount': 2300, 'avg_cost': 15.81, 'price': np.float64(15.44)}, '002249.XSHE': {'total_amount': 57400, 'avg_cost': 7.6, 'price': np.float64(7.43)}}"
