schema_version,trade_date,code,branch,observation_level,prepared_candidate,handler_eligible,terminal_state,fill_status,order_id,entry_price,entry_amount
0.2,2023-01-06,600095.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-06,603105.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-06,000665.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-06,000049.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-06,002357.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-06,002213.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-06,600853.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-06,001267.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-06,002712.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-06,002654.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-06,000507.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-06,002351.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-06,001896.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-06,603050.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-09,002865.XSHE,Scorpion,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-09,003038.XSHE,Scorpion,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-09,600732.XSHG,Scorpion,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-09,603348.XSHG,Scorpion,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-09,601865.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-09,000301.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-09,002683.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-09,600732.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-09,002056.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-09,603260.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-09,002150.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-09,605111.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-09,603212.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-09,600477.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-09,600586.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-09,601519.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-09,600066.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-09,002758.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-09,603367.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-09,002929.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-09,000560.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-10,600996.XSHG,YJJ,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-10,002646.XSHE,YJJ,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-10,601137.XSHG,YJJ,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-10,601216.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-10,600996.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-10,601137.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-10,002646.XSHE,Auction,PREPARED_CANDIDATE,True,,FILLED,FULL,5,16.38,18700.0
0.2,2023-01-10,600477.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-10,002184.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-10,600563.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-10,002010.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-10,002291.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-10,002234.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-10,000548.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-10,002997.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-10,002141.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-10,000526.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-11,000716.XSHE,YJJ,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-11,000404.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-11,002915.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-12,603929.XSHG,Scorpion,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-12,002875.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-12,600121.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-12,002045.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-12,603069.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-12,002104.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-12,601858.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-12,600212.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-12,600130.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-12,002454.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-12,002990.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-12,600189.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-13,002651.XSHE,Scorpion,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-13,600556.XSHG,Scorpion,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-13,600973.XSHG,Scorpion,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-13,002952.XSHE,Scorpion,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-13,002068.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-13,600556.XSHG,Auction,PREPARED_CANDIDATE,True,,FILLED,FULL,7,7.29,41300.0
0.2,2023-01-13,600973.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-13,002184.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-13,000025.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-13,002368.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-13,002315.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-13,002933.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-13,600391.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-13,002162.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-13,603598.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-13,603918.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-13,002823.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-16,600095.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-16,603486.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-16,000670.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-16,002137.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-16,000151.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-16,002103.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-16,600189.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-16,605289.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-16,002593.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-16,600510.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-16,603866.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-16,002388.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-17,002279.XSHE,YJJ,PREPARED_CANDIDATE,True,,FILLED,FULL,9,9.31,42500.0
0.2,2023-01-17,002368.XSHE,YJJ,PREPARED_CANDIDATE,True,,FILLED,FULL,10,34.15,13800.0
0.2,2023-01-17,600559.XSHG,YJJ,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-17,002821.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-17,600559.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-17,002279.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-17,002500.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-17,600483.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-17,002567.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-17,600446.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-17,600572.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-17,600130.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-17,600203.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-17,002687.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-17,000785.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-18,000755.XSHE,YJJ,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-18,002576.XSHE,YJJ,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-18,000755.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-18,002037.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-18,600771.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-18,002329.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-18,002238.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-18,600633.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-18,603330.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-18,002296.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-18,002553.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-19,002343.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-19,002642.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-19,000815.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-19,002807.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-19,600756.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-19,002383.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
