schema_version,signal_id,trade_date,signal_time,code,branch,signal_variant,strategy_commit,strategy_sha256,observation_level,raw_pattern_hit,prepared_candidate,handler_eligible,branch_eligible,raw_candidate_rank,final_candidate_rank,branch_candidate_count,terminal_state,market_mode,raw_market_mode,active_route,emotion_state,emotion_heat,emotion_momentum,emotion_stress,source_function,source_path,source_line,branch_payload
0.2,Scorpion|2023-01-04|002244.XSHE|SCORPION_PREPARED,2023-01-04,09:05,002244.XSHE,Scorpion,SCORPION_PREPARED,bd209837585538a1bdf89991d6901add5e610702,16a22f329f2169490fb92e08f9985019a453df190cedc75cfdcf1b709cf4c3df,PREPARED_CANDIDATE,,True,,,1,,8,UNRESOLVED,bear,bear,v227,bear,0.5,0.030716360261961687,,prepare_all,research/instrumented_strategies/motherboard_phase1a_observed.py,,{}
0.2,Scorpion|2023-01-04|002693.XSHE|SCORPION_PREPARED,2023-01-04,09:05,002693.XSHE,Scorpion,SCORPION_PREPARED,bd209837585538a1bdf89991d6901add5e610702,16a22f329f2169490fb92e08f9985019a453df190cedc75cfdcf1b709cf4c3df,PREPARED_CANDIDATE,,True,,,2,,8,UNRESOLVED,bear,bear,v227,bear,0.5,0.030716360261961687,,prepare_all,research/instrumented_strategies/motherboard_phase1a_observed.py,,{}
0.2,Scorpion|2023-01-04|002826.XSHE|SCORPION_PREPARED,2023-01-04,09:05,002826.XSHE,Scorpion,SCORPION_PREPARED,bd209837585538a1bdf89991d6901add5e610702,16a22f329f2169490fb92e08f9985019a453df190cedc75cfdcf1b709cf4c3df,PREPARED_CANDIDATE,,True,,,3,,8,UNRESOLVED,bear,bear,v227,bear,0.5,0.030716360261961687,,prepare_all,research/instrumented_strategies/motherboard_phase1a_observed.py,,{}
0.2,Scorpion|2023-01-04|600062.XSHG|SCORPION_PREPARED,2023-01-04,09:05,600062.XSHG,Scorpion,SCORPION_PREPARED,bd209837585538a1bdf89991d6901add5e610702,16a22f329f2169490fb92e08f9985019a453df190cedc75cfdcf1b709cf4c3df,PREPARED_CANDIDATE,,True,,,5,,8,UNRESOLVED,bear,bear,v227,bear,0.5,0.030716360261961687,,prepare_all,research/instrumented_strategies/motherboard_phase1a_observed.py,,{}
0.2,Scorpion|2023-01-04|001308.XSHE|SCORPION_PREPARED,2023-01-04,09:05,001308.XSHE,Scorpion,SCORPION_PREPARED,bd209837585538a1bdf89991d6901add5e610702,16a22f329f2169490fb92e08f9985019a453df190cedc75cfdcf1b709cf4c3df,PREPARED_CANDIDATE,,True,,,6,,8,UNRESOLVED,bear,bear,v227,bear,0.5,0.030716360261961687,,prepare_all,research/instrumented_strategies/motherboard_phase1a_observed.py,,{}
0.2,Scorpion|2023-01-04|603138.XSHG|SCORPION_PREPARED,2023-01-04,09:05,603138.XSHG,Scorpion,SCORPION_PREPARED,bd209837585538a1bdf89991d6901add5e610702,16a22f329f2169490fb92e08f9985019a453df190cedc75cfdcf1b709cf4c3df,PREPARED_CANDIDATE,,True,,,7,,8,UNRESOLVED,bear,bear,v227,bear,0.5,0.030716360261961687,,prepare_all,research/instrumented_strategies/motherboard_phase1a_observed.py,,{}
0.2,Scorpion|2023-01-04|603529.XSHG|SCORPION_PREPARED,2023-01-04,09:05,603529.XSHG,Scorpion,SCORPION_PREPARED,bd209837585538a1bdf89991d6901add5e610702,16a22f329f2169490fb92e08f9985019a453df190cedc75cfdcf1b709cf4c3df,PREPARED_CANDIDATE,,True,,,8,,8,UNRESOLVED,bear,bear,v227,bear,0.5,0.030716360261961687,,prepare_all,research/instrumented_strategies/motherboard_phase1a_observed.py,,{}
0.2,Auction|2023-01-04|600062.XSHG|AUCTION_PREPARED,2023-01-04,09:05,600062.XSHG,Auction,AUCTION_PREPARED,bd209837585538a1bdf89991d6901add5e610702,16a22f329f2169490fb92e08f9985019a453df190cedc75cfdcf1b709cf4c3df,PREPARED_CANDIDATE,,True,,,1,,16,UNRESOLVED,bear,bear,v227,bear,0.5,0.030716360261961687,,prepare_all,research/instrumented_strategies/motherboard_phase1a_observed.py,,{}
0.2,Auction|2023-01-04|000948.XSHE|AUCTION_PREPARED,2023-01-04,09:05,000948.XSHE,Auction,AUCTION_PREPARED,bd209837585538a1bdf89991d6901add5e610702,16a22f329f2169490fb92e08f9985019a453df190cedc75cfdcf1b709cf4c3df,PREPARED_CANDIDATE,,True,,,2,,16,UNRESOLVED,bear,bear,v227,bear,0.5,0.030716360261961687,,prepare_all,research/instrumented_strategies/motherboard_phase1a_observed.py,,{}
0.2,Auction|2023-01-04|002368.XSHE|AUCTION_PREPARED,2023-01-04,09:05,002368.XSHE,Auction,AUCTION_PREPARED,bd209837585538a1bdf89991d6901add5e610702,16a22f329f2169490fb92e08f9985019a453df190cedc75cfdcf1b709cf4c3df,PREPARED_CANDIDATE,,True,,,3,,16,UNRESOLVED,bear,bear,v227,bear,0.5,0.030716360261961687,,prepare_all,research/instrumented_strategies/motherboard_phase1a_observed.py,,{}
