branch,prepared_signal_count,filled_signal_count,buy_fill_rate,closed_lot_count,year_end_open_lot_count,gross_pnl,commission,tax,closed_net_pnl,open_unrealized_pnl,total_actual_contribution,contribution_share_of_portfolio_net_change,closed_win_count,closed_loss_count,closed_win_rate,average_closed_return,median_closed_return,average_holding_days,median_holding_days
Auction,1442,47,0.03259361997226075,46,1,115809.0,10404.079935757321,17205.531980778163,88314.9180834645,2184.469999999972,90499.38808346447,0.3503551253893228,30,16,0.6521739130434783,0.006179680710869564,0.0084667312,1.5869565217391304,1.0
YJJ,125,37,0.296,37,0,-69962.9999999992,8605.370064242677,14294.718019221837,-92863.08808346378,0.0,-92863.08808346378,-0.35950584372477434,18,19,0.4864864864864865,-0.0026716502162162166,-0.0007798122,1.0810810810810811,1.0
Scorpion,632,11,0.01740506329113924,11,0,113249.0,3427.3500000000004,5768.92,104052.73,0.0,104052.73,0.4028249034416651,8,3,0.7272727272727273,0.02143960950909091,0.0523680715,1.0,1.0
RZQ,46,7,0.15217391304347827,7,0,-91660.0,1875.8,3080.5,-96616.29999999999,0.0,-96616.29999999999,-0.3740358539212853,1,6,0.14285714285714285,-0.027243778371428575,-0.0360007792,1.2857142857142858,1.0
ZB,279,30,0.10752688172043011,30,0,269195.0000000001,5934.58,10025.560000000003,253234.86000000013,0.0,253234.86000000013,0.9803616688150675,19,11,0.6333333333333333,0.025441944376666668,0.0072841752,1.3666666666666667,1.0
