date,code,amount,avg_cost,price
2025-06-20,002769.XSHE,6600.0,9.33,9.01
2025-06-23,603533.XSHG,20100.0,23.0,21.47
2025-06-24,600470.XSHG,52800.0,6.25,6.25
2025-06-24,002250.XSHE,25500.0,13.29,13.48
2025-06-24,002449.XSHE,32900.0,10.18,10.12
2025-06-25,600470.XSHG,52800.0,6.25,6.23
2025-06-26,600470.XSHG,52800.0,6.25,6.15
2025-06-26,600590.XSHG,29400.0,9.81,9.73
2025-06-26,002074.XSHE,23700.0,33.07,32.39
2025-06-27,600590.XSHG,29400.0,9.81,9.44
2025-06-27,002074.XSHE,23700.0,33.07,32.31
2025-06-30,600590.XSHG,29400.0,9.81,9.77
2025-06-30,002074.XSHE,23700.0,33.07,32.46
2025-06-30,605319.XSHG,9100.0,34.62,34.16
2025-07-01,600590.XSHG,29400.0,9.81,9.52
2025-07-01,605319.XSHG,9100.0,34.62,33.89
2025-07-02,001298.XSHE,22600.0,33.3,35.16
2025-07-04,002866.XSHE,21800.0,20.31,19.9
2025-07-04,002987.XSHE,21100.0,22.52,23.3
2025-07-04,002724.XSHE,51600.0,8.51,7.87
2025-07-07,002987.XSHE,21100.0,22.52,25.63
2025-07-08,001896.XSHE,75300.0,5.62,5.59
2025-07-08,002908.XSHE,35300.0,11.22,11.16
2025-07-09,605177.XSHG,9000.0,19.25,19.17
2025-07-09,002721.XSHE,37300.0,4.63,4.9
2025-07-09,002612.XSHE,9800.0,17.81,17.44
2025-07-10,605177.XSHG,9000.0,19.25,19.21
2025-07-10,000987.XSHE,53600.0,7.84,8.0
2025-07-11,605177.XSHG,9000.0,19.25,19.12
2025-07-11,000987.XSHE,53600.0,7.84,7.84
2025-07-11,000702.XSHE,50900.0,7.67,8.48
2025-07-11,002902.XSHE,18600.0,20.47,20.3
2025-07-14,000987.XSHE,53600.0,7.84,7.5
2025-07-14,002902.XSHE,18600.0,20.47,20.39
2025-07-14,002657.XSHE,400.0,32.91,30.43
2025-07-15,600281.XSHG,74400.0,7.52,7.62
2025-07-16,600281.XSHG,74400.0,7.52,7.29
2025-07-16,002553.XSHE,33200.0,23.56,25.16
2025-07-17,600281.XSHG,74400.0,7.52,7.43
2025-07-17,603275.XSHG,400.0,54.11,58.2
2025-07-18,001339.XSHE,8000.0,57.01,55.65
2025-07-18,601208.XSHG,15500.0,15.04,15.26
2025-07-18,001389.XSHE,3300.0,67.1,68.57
2025-07-21,001339.XSHE,8000.0,57.01,53.96
2025-07-21,001359.XSHE,4300.0,44.85,48.84
2025-07-21,603657.XSHG,5800.0,32.05,31.25
2025-07-21,603041.XSHG,15200.0,12.71,12.79
2025-07-22,603041.XSHG,15200.0,12.71,12.56
2025-07-23,601101.XSHG,55900.0,8.22,7.79
2025-07-23,000657.XSHE,27400.0,16.0,16.18
2025-07-23,600711.XSHG,54400.0,7.85,7.65
2025-07-25,000712.XSHE,29200.0,15.22,14.71
2025-07-25,002266.XSHE,236100.0,4.3,4.0
2025-07-28,000712.XSHE,29200.0,15.22,14.46
2025-07-29,000712.XSHE,29200.0,15.22,14.91
2025-07-29,600343.XSHG,20200.0,14.86,14.86
2025-07-29,603528.XSHG,33200.0,8.9,8.78
2025-07-29,603848.XSHG,16300.0,18.4,18.05
2025-07-30,000712.XSHE,29200.0,15.22,14.54
2025-07-30,600343.XSHG,20200.0,14.86,14.78
2025-07-30,603528.XSHG,33200.0,8.9,8.64
2025-07-30,603848.XSHG,16300.0,18.4,17.57
2025-07-30,002570.XSHE,800.0,6.59,7.39
2025-08-01,002203.XSHE,35500.0,11.59,11.9
2025-08-01,000070.XSHE,38400.0,7.76,7.4
2025-08-01,601869.XSHG,5900.0,50.35,50.73
2025-08-01,600588.XSHG,19300.0,16.29,15.77
