match_key,date,time,code,side,jq_price,l1a_price,price_diff,classification,matched_disabled_hook_id,hook_key
2020-03-19|2020-03-19 11:25|000700.XSHE|sell#1,2020-03-19,2020-03-19 11:25,000700.XSHE,sell,9.82,9.8,0.02,price_only,,
2020-03-19|2020-03-19 11:30|002365.XSHE|sell#1,2020-03-19,2020-03-19 11:30,002365.XSHE,sell,11.24,11.25,-0.01,price_only,,
2020-03-19|2020-03-19 11:30|002444.XSHE|sell#1,2020-03-19,2020-03-19 11:30,002444.XSHE,sell,10.53,10.54,-0.01,price_only,,
2020-03-19|2020-03-19 11:30|600973.XSHG|sell#1,2020-03-19,2020-03-19 11:30,600973.XSHG,sell,4.66,4.65,0.01,price_only,,
2020-03-25|2020-03-25 9:30|600988.XSHG|buy#1,2020-03-25,2020-03-25 9:30,600988.XSHG,buy,8.6,8.61,-0.01,price_and_amount,,
2020-03-27|2020-03-27 11:25|002603.XSHE|sell#1,2020-03-27,2020-03-27 11:25,002603.XSHE,sell,22.6,22.65,-0.05,price_only,,
2020-03-27|2020-03-27 9:30|002063.XSHE|buy#1,2020-03-27,2020-03-27 9:30,002063.XSHE,buy,15.0,15.01,-0.01,price_only,,
2020-03-30|2020-03-30 9:30|002612.XSHE|buy#1,2020-03-30,2020-03-30 9:30,002612.XSHE,buy,8.36,8.37,-0.01,price_and_amount,,
2020-03-30|2020-03-30 every_bar|002063.XSHE|sell#1,2020-03-30,2020-03-30 every_bar,002063.XSHE,sell,13.88,13.89,-0.01,price_only,,
2020-03-31|2020-03-31 11:25|002612.XSHE|sell#1,2020-03-31,2020-03-31 11:25,002612.XSHE,sell,8.42,8.43,-0.01,price_and_amount,,
2020-04-02|2020-04-02 14:50|002605.XSHE|sell#1,2020-04-02,2020-04-02 14:50,002605.XSHE,sell,29.42,29.41,0.01,price_only,,
2020-04-02|2020-04-02 9:30|002156.XSHE|buy#1,2020-04-02,2020-04-02 9:30,002156.XSHE,buy,21.08,21.07,0.01,price_only,,
2020-04-03|2020-04-03 11:25|002156.XSHE|sell#1,2020-04-03,2020-04-03 11:25,002156.XSHE,sell,22.98,22.99,-0.01,price_only,,
2020-04-08|2020-04-08 11:25|002470.XSHE|sell#1,2020-04-08,2020-04-08 11:25,002470.XSHE,sell,3.1,3.12,-0.02,price_and_amount,,
2020-04-14|2020-04-14 13:01|002444.XSHE|sell#1,2020-04-14,2020-04-14 13:01,002444.XSHE,sell,10.17,10.18,-0.01,price_only,,
2020-04-14|2020-04-14 9:30|002221.XSHE|buy#1,2020-04-14,2020-04-14 9:30,002221.XSHE,buy,9.6,9.61,-0.01,price_only,,
2020-04-15|2020-04-15 14:50|002221.XSHE|sell#1,2020-04-15,2020-04-15 14:50,002221.XSHE,sell,9.69,9.7,-0.01,price_only,,
2020-04-16|2020-04-16 9:30|002041.XSHE|buy#1,2020-04-16,2020-04-16 9:30,002041.XSHE,buy,12.2,12.21,-0.01,price_only,,
2020-04-17|2020-04-17 11:25|002041.XSHE|sell#1,2020-04-17,2020-04-17 11:25,002041.XSHE,sell,12.6,12.58,0.02,price_only,,
2020-04-22|2020-04-22 every_bar|300463.XSHE|sell#1,2020-04-22,2020-04-22 every_bar,300463.XSHE,sell,35.64,35.65,-0.01,price_only,,
2020-04-27|2020-04-27 9:30|600241.XSHG|buy#1,2020-04-27,2020-04-27 9:30,600241.XSHG,buy,3.16,3.17,-0.01,price_only,,
2020-05-12|2020-05-12 14:50|002183.XSHE|sell#1,2020-05-12,2020-05-12 14:50,002183.XSHE,sell,5.0,5.01,-0.01,price_and_amount,,
2020-05-12|2020-05-12 14:50|002351.XSHE|sell#1,2020-05-12,2020-05-12 14:50,002351.XSHE,sell,19.3,19.32,-0.02,price_only,,
2020-05-14|2020-05-14 9:30|600550.XSHG|buy#1,2020-05-14,2020-05-14 9:30,600550.XSHG,buy,5.9,5.89,0.01,price_and_amount,,
2020-05-15|2020-05-15 11:25|600550.XSHG|sell#1,2020-05-15,2020-05-15 11:25,600550.XSHG,sell,6.02,6.03,-0.01,price_and_amount,,
2020-05-18|2020-05-18 9:30|000987.XSHE|buy#1,2020-05-18,2020-05-18 9:30,000987.XSHE,buy,11.7,11.71,-0.01,price_only,,
2020-05-18|2020-05-18 9:30|000987.XSHE|buy#2,2020-05-18,2020-05-18 9:30,000987.XSHE,buy,11.7,11.71,-0.01,price_only,,
2020-05-19|2020-05-19 11:25|000987.XSHE|sell#1,2020-05-19,2020-05-19 11:25,000987.XSHE,sell,12.56,12.57,-0.01,price_only,,
2020-05-19|2020-05-19 9:30|600143.XSHG|buy#1,2020-05-19,2020-05-19 9:30,600143.XSHG,buy,14.0,14.01,-0.01,price_and_amount,,
2020-05-20|2020-05-20 14:50|600143.XSHG|sell#1,2020-05-20,2020-05-20 14:50,600143.XSHG,sell,13.78,13.79,-0.01,price_and_amount,,
2020-06-02|2020-06-02 11:25|002409.XSHE|sell#1,2020-06-02,2020-06-02 11:25,002409.XSHE,sell,50.24,50.28,-0.04,price_only,,
2020-06-02|2020-06-02 11:25|002466.XSHE|sell#1,2020-06-02,2020-06-02 11:25,002466.XSHE,sell,22.98,22.97,0.01,price_and_amount,,
2020-06-03|2020-06-03 9:30|000505.XSHE|buy#1,2020-06-03,2020-06-03 9:30,000505.XSHE,buy,8.3,8.29,0.01,price_and_amount,,
2020-06-03|2020-06-03 9:30|600831.XSHG|buy#1,2020-06-03,2020-06-03 9:30,600831.XSHG,buy,8.86,8.87,-0.01,price_and_amount,,
