year,trades,win_rate,ev,profit_contribution,max_drawdown
2018,35,0.6,0.010579,0.370277,0.089649
2019,35,0.714286,0.022504,0.787656,0.035444
2020,36,0.555556,0.008601,0.309635,0.094394
2021,30,0.5,0.012377,0.371301,0.132913
2022,39,0.564103,0.0081,0.315886,0.112203
2023,14,0.642857,0.01513,0.211821,0.044616
2024,29,0.62069,0.021618,0.626908,0.069108
2025,13,0.615385,0.016435,0.213649,0.079318
