branch,source_mode,count
Auction,NOT_APPLICABLE,8
Auction,PROJECT_AUCTION_PREPARE_CACHE,51
RZQ,BILLBOARD_API,47
RZQ,NOT_APPLICABLE,12
Scorpion,NOT_APPLICABLE,50
Scorpion,PROJECT_BOARD_SNAPSHOT,9
YJJ,NOT_APPLICABLE,9
YJJ,PROJECT_BOARD_SNAPSHOT,50
ZB,DAILY_PRICE_COMPUTED,26
ZB,NOT_APPLICABLE,33
