branch,scan_status,count
Auction,NOT_CALLED_BY_CONTROL_FLOW,8
Auction,SOURCE_LIMITED,51
RZQ,EXECUTED,31
RZQ,EXECUTED_EMPTY,16
RZQ,NOT_CALLED_BY_CONTROL_FLOW,12
Scorpion,EXECUTED,8
Scorpion,EXECUTED_EMPTY,1
Scorpion,NOT_CALLED_BY_CONTROL_FLOW,50
YJJ,EXECUTED,43
YJJ,EXECUTED_EMPTY,7
YJJ,NOT_CALLED_BY_CONTROL_FLOW,9
ZB,EXECUTED,26
ZB,NOT_CALLED_BY_CONTROL_FLOW,33
