trade_key,diff_type,date,code,l1a_amount,l1b_amount,l1a_price,l1b_price
2020-08-05|2020-08-05 9:30|002106.XSHE|buy#1,amount_diff,2020-08-05,002106.XSHE,37800.0,37700.0,17.45,17.45
2020-08-05|2020-08-05 9:30|002941.XSHE|buy#1,amount_diff,2020-08-05,002941.XSHE,86700.0,86600.0,17.32,17.32
2020-08-06|2020-08-06 11:28|002941.XSHE|sell#1,amount_diff,2020-08-06,002941.XSHE,-86700.0,-86600.0,18.18,18.18
2020-08-07|2020-08-07 9:30|000930.XSHE|buy#1,amount_diff,2020-08-07,000930.XSHE,79600.0,79500.0,9.71,9.71
2020-08-10|2020-08-10 every_bar|002106.XSHE|sell#1,amount_diff,2020-08-10,002106.XSHE,-37800.0,-37700.0,16.9,16.9
2020-08-11|2020-08-11 every_bar|000930.XSHE|sell#1,amount_diff,2020-08-11,000930.XSHE,-79600.0,-79500.0,9.43,9.43
2020-08-18|2020-08-18 9:30|002662.XSHE|buy#1,amount_diff,2020-08-18,002662.XSHE,238800.0,238600.0,4.81,4.81
2020-08-19|2020-08-19 11:25|002662.XSHE|sell#1,amount_diff,2020-08-19,002662.XSHE,-238800.0,-238600.0,5.08,5.08
2020-08-20|2020-08-20 9:30|002615.XSHE|buy#1,amount_diff,2020-08-20,002615.XSHE,87600.0,87300.0,6.16,6.16
2020-08-20|2020-08-20 9:30|600590.XSHG|buy#1,amount_diff,2020-08-20,600590.XSHG,74700.0,74400.0,7.43,7.43
2020-08-21|2020-08-21 11:25|600027.XSHG|sell#1,amount_diff,2020-08-21,600027.XSHG,-164300.0,-165200.0,4.36,4.36
2020-08-21|2020-08-21 11:30|002615.XSHE|sell#1,amount_diff,2020-08-21,002615.XSHE,-87600.0,-87300.0,6.23,6.23
2020-08-21|2020-08-21 14:48|600590.XSHG|sell#1,amount_diff,2020-08-21,600590.XSHG,-74700.0,-74400.0,7.0,7.0
2020-08-21|2020-08-21 9:30|603167.XSHG|buy#1,amount_diff,2020-08-21,603167.XSHG,900.0,800.0,16.0,16.0
2020-08-24|2020-08-24 9:30|000933.XSHE|buy#1,amount_diff,2020-08-24,000933.XSHE,409100.0,409000.0,5.71,5.71
2020-08-25|2020-08-25 11:28|000933.XSHE|sell#1,amount_diff,2020-08-25,000933.XSHE,-409100.0,-409000.0,5.48,5.48
2020-08-25|2020-08-25 14:47|603167.XSHG|sell#1,amount_diff,2020-08-25,603167.XSHG,-900.0,-800.0,20.66,20.66
2020-08-26|2020-08-26 9:30|600255.XSHG|buy#1,amount_diff,2020-08-26,600255.XSHG,1584200.0,1582500.0,1.41,1.41
2020-08-27|2020-08-27 11:30|600255.XSHG|sell#1,amount_diff,2020-08-27,600255.XSHG,-1584200.0,-1582500.0,1.38,1.38
2020-08-28|2020-08-28 9:30|002256.XSHE|buy#1,amount_diff,2020-08-28,002256.XSHE,574300.0,573700.0,1.24,1.24
2020-08-28|2020-08-28 9:30|002533.XSHE|buy#1,amount_diff,2020-08-28,002533.XSHE,123900.0,123800.0,5.79,5.79
2020-08-28|2020-08-28 9:30|600273.XSHG|buy#1,amount_diff,2020-08-28,600273.XSHG,71500.0,71400.0,10.25,10.25
2020-08-31|2020-08-31 11:30|002256.XSHE|sell#1,amount_diff,2020-08-31,002256.XSHE,-574300.0,-573700.0,1.26,1.26
2020-08-31|2020-08-31 11:30|002533.XSHE|sell#1,amount_diff,2020-08-31,002533.XSHE,-123900.0,-123800.0,6.38,6.38
2020-08-31|2020-08-31 11:30|600273.XSHG|sell#1,amount_diff,2020-08-31,600273.XSHG,-71500.0,-71400.0,11.03,11.03
2020-09-01|2020-09-01 9:30|000822.XSHE|buy#1,amount_diff,2020-09-01,000822.XSHE,153000.0,152600.0,5.02,5.02
2020-09-01|2020-09-01 9:30|002533.XSHE|buy#1,amount_diff,2020-09-01,002533.XSHE,122100.0,122000.0,6.27,6.27
2020-09-03|2020-09-03 11:30|000822.XSHE|sell#1,amount_diff,2020-09-03,000822.XSHE,-153000.0,-152600.0,4.87,4.87
2020-09-03|2020-09-03 11:30|002533.XSHE|sell#1,amount_diff,2020-09-03,002533.XSHE,-122100.0,-122000.0,6.04,6.04
2020-09-07|2020-09-07 9:30|600172.XSHG|buy#1,amount_diff,2020-09-07,600172.XSHG,128500.0,128200.0,3.4,3.4
2020-09-07|2020-09-07 9:30|603356.XSHG|buy#1,amount_diff,2020-09-07,603356.XSHG,28600.0,28500.0,14.64,14.64
2020-09-08|2020-09-08 11:30|600172.XSHG|sell#1,amount_diff,2020-09-08,600172.XSHG,-128500.0,-128200.0,3.49,3.49
2020-09-09|2020-09-09 11:30|603356.XSHG|sell#1,amount_diff,2020-09-09,603356.XSHG,-28600.0,-28500.0,14.22,14.22
2020-09-09|2020-09-09 9:30|603077.XSHG|buy#1,amount_diff,2020-09-09,603077.XSHG,287200.0,286900.0,1.69,1.69
2020-09-09|2020-09-09 9:30|603077.XSHG|buy#2,amount_diff,2020-09-09,603077.XSHG,450000.0,449800.0,1.69,1.69
2020-09-10|2020-09-10 9:30|600145.XSHG|buy#1,amount_diff,2020-09-10,600145.XSHG,582400.0,581500.0,1.88,1.88
2020-09-11|2020-09-11 every_bar|600145.XSHG|sell#1,amount_diff,2020-09-11,600145.XSHG,-582400.0,-581500.0,1.78,1.78
2020-09-11|2020-09-11 every_bar|603077.XSHG|sell#1,amount_diff,2020-09-11,603077.XSHG,-737200.0,-736700.0,1.5,1.5
2020-10-09|2020-10-09 9:30|000591.XSHE|buy#1,amount_diff,2020-10-09,000591.XSHE,136200.0,136100.0,4.88,4.88
2020-10-12|2020-10-12 11:25|000591.XSHE|sell#1,amount_diff,2020-10-12,000591.XSHE,-136200.0,-136100.0,5.17,5.17
2020-10-26|2020-10-26 9:30|002638.XSHE|buy#1,amount_diff,2020-10-26,002638.XSHE,749100.0,748200.0,1.41,1.41
2020-10-27|2020-10-27 11:25|002638.XSHE|sell#1,amount_diff,2020-10-27,002638.XSHE,-749100.0,-748200.0,1.51,1.51
2020-11-02|2020-11-02 9:30|600335.XSHG|buy#1,amount_diff,2020-11-02,600335.XSHG,109400.0,109300.0,6.02,6.02
2020-11-03|2020-11-03 11:25|600335.XSHG|sell#1,amount_diff,2020-11-03,600335.XSHG,-109400.0,-109300.0,6.36,6.36
2020-11-10|2020-11-10 9:30|000807.XSHE|buy#1,amount_diff,2020-11-10,000807.XSHE,100200.0,100100.0,6.95,6.95
2020-11-11|2020-11-11 11:25|000807.XSHE|sell#1,amount_diff,2020-11-11,000807.XSHE,-100200.0,-100100.0,7.44,7.44
2020-11-24|2020-11-24 9:30|600687.XSHG|buy#1,amount_diff,2020-11-24,600687.XSHG,797800.0,796600.0,1.0,1.0
2020-11-25|2020-11-25 13:01|600687.XSHG|sell#1,amount_diff,2020-11-25,600687.XSHG,-797800.0,-796600.0,0.97,0.97
2020-12-01|2020-12-01 9:30|000673.XSHE|buy#1,amount_diff,2020-12-01,000673.XSHE,557300.0,556600.0,1.39,1.39
2020-12-01|2020-12-01 9:30|002948.XSHE|buy#1,amount_diff,2020-12-01,002948.XSHE,123700.0,123600.0,5.52,5.52
2020-12-01|2020-12-01 9:30|600291.XSHG|buy#1,amount_diff,2020-12-01,600291.XSHG,134600.0,134500.0,5.75,5.75
2020-12-02|2020-12-02 11:25|000673.XSHE|sell#1,amount_diff,2020-12-02,000673.XSHE,-557300.0,-556600.0,1.44,1.44
2020-12-02|2020-12-02 11:25|600291.XSHG|sell#1,amount_diff,2020-12-02,600291.XSHG,-134600.0,-134500.0,6.15,6.15
2020-12-04|2020-12-04 11:25|002948.XSHE|sell#1,amount_diff,2020-12-04,002948.XSHE,-123700.0,-123600.0,7.08,7.08
2020-12-15|2020-12-15 9:30|603708.XSHG|buy#1,amount_diff,2020-12-15,603708.XSHG,29600.0,29500.0,25.59,25.59
2020-12-16|2020-12-16 11:25|603708.XSHG|sell#1,amount_diff,2020-12-16,603708.XSHG,-29600.0,-29500.0,26.32,26.32
2020-12-21|2020-12-21 9:30|000585.XSHE|buy#1,amount_diff,2020-12-21,000585.XSHE,551200.0,550600.0,1.54,1.54
2020-12-21|2020-12-21 9:30|600110.XSHG|buy#1,amount_diff,2020-12-21,600110.XSHG,92000.0,91900.0,8.46,8.46
2020-12-22|2020-12-22 11:25|600110.XSHG|sell#1,amount_diff,2020-12-22,600110.XSHG,-92000.0,-91900.0,9.01,9.01
2020-12-22|2020-12-22 14:50|000585.XSHE|sell#1,amount_diff,2020-12-22,000585.XSHE,-551200.0,-550600.0,1.62,1.62
2020-12-28|2020-12-28 9:30|000027.XSHE|buy#1,amount_diff,2020-12-28,000027.XSHE,120700.0,120600.0,6.49,6.49
2020-12-30|2020-12-30 9:30|002467.XSHE|buy#1,amount_diff,2020-12-30,002467.XSHE,154600.0,154400.0,5.77,5.77
2020-12-31|2020-12-31 11:25|000027.XSHE|sell#1,amount_diff,2020-12-31,000027.XSHE,-120700.0,-120600.0,6.1,6.1
2020-12-31|2020-12-31 11:25|002467.XSHE|sell#1,amount_diff,2020-12-31,002467.XSHE,-154600.0,-154400.0,5.87,5.87
