hook_id,date,time,code,side,order_id,query_ordinal,key_query_ordinal,sequence_index,computed_amount_before_override,override_amount,final_order_amount,final_fill_amount,profile,effective_hit,would_have_hit
execution.fill_amount_anomalies,20200102,09:30,002041.XSHE,buy,1,1,1,0,31100,,,31100.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200113,09:30,002056.XSHE,buy,3,2,1,0,52900,,,52900.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200113,09:30,002235.XSHE,buy,4,3,1,0,51100,,,51100.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200115,09:30,300448.XSHE,buy,6,4,1,0,55800,,,55800.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200117,09:30,000049.XSHE,buy,10,6,1,0,13100,,,13100.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200117,09:30,000818.XSHE,buy,9,5,1,0,26100,,,26100.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200121,09:30,000547.XSHE,buy,12,7,1,0,46600,,,46600.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200122,09:30,000650.XSHE,buy,14,8,1,0,56200,,,56200.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200205,09:30,002340.XSHE,buy,17,9,1,0,73800,,,73800.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200206,09:30,002589.XSHE,buy,18,10,1,0,62400,,,62400.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200206,09:30,603882.XSHG,buy,19,11,1,0,8500,,,8500.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200210,09:30,000700.XSHE,buy,23,12,1,0,49300,,,49300.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200210,09:30,600400.XSHG,buy,24,13,1,0,146300,,,146300.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200211,09:30,603083.XSHG,buy,26,15,1,0,200,,,200.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200211,09:30,603185.XSHG,buy,25,14,1,0,200,,,200.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200211,09:30,603887.XSHG,buy,27,16,1,0,400,,,400.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200213,09:30,002497.XSHE,buy,34,18,1,0,40500,,,40500.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200213,09:30,002897.XSHE,buy,33,17,1,0,16500,,,16500.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200213,09:30,603626.XSHG,buy,35,19,1,0,36800,,,36800.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200217,09:30,002079.XSHE,buy,39,21,1,0,35800,,,35800.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200217,09:30,002428.XSHE,buy,38,20,1,0,31700,,,31700.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200219,09:30,600469.XSHG,buy,44,23,1,0,80900,,,80900.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200219,09:30,601900.XSHG,buy,43,22,1,0,37300,,,37300.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200219,09:30,603138.XSHG,buy,45,24,1,0,17000,,,17000.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200220,09:30,002413.XSHE,buy,46,25,1,0,2300,,,2300.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200221,09:30,002915.XSHE,buy,51,27,1,0,32200,,,32200.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200221,09:30,600221.XSHG,buy,50,26,1,0,235100,,,235100.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200224,09:30,002185.XSHE,buy,52,28,1,0,500,,,500.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200224,09:30,002324.XSHE,buy,54,30,1,0,600,,,600.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200224,09:30,603186.XSHG,buy,53,29,1,0,100,,,100.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200225,09:30,000034.XSHE,buy,56,31,1,0,18600,,,18600.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200225,09:30,300037.XSHE,buy,57,32,1,0,12200,,,12200.0,local_native_l1a,False,False
execution.fill_amount_anomalies,20200227,09:30,600318.XSHG,buy,65,33,1,0,142900,,,142900.0,local_native_l1a,False,False
