period,state,count,ev,win_rate,profit_loss_ratio,total_profit,max_win,max_loss,ex_max_ev,version
all,ICE_POINT,9,0.013488237086118324,0.4444444444444444,1.959651055007245,0.12139413377506492,0.09905660377358488,-0.05681818181818187,0.002792191250185003,v1
2018-2019,ICE_POINT,4,0.019978530264499,0.5,1.9383940218083486,0.079914121057996,0.09198493813878433,-0.05334233625928433,-0.004023605693596108,v1
2020-2021,ICE_POINT,2,0.011885717702991603,0.5,1.5023696682464454,0.023771435405983206,0.07109004739336489,-0.04731861198738168,-0.04731861198738168,v1
2022-2023,ICE_POINT,2,-0.04067401323124959,0.0,,-0.08134802646249918,-0.02452984464431731,-0.05681818181818187,,v1
2024-2025,ICE_POINT,1,0.09905660377358488,1.0,,0.09905660377358488,0.09905660377358488,0.09905660377358488,,v1
all,ICE_REPAIR,1,-0.06633333333333329,0.0,,-0.06633333333333329,-0.06633333333333329,-0.06633333333333329,,v1
2018-2019,ICE_REPAIR,1,-0.06633333333333329,0.0,,-0.06633333333333329,-0.06633333333333329,-0.06633333333333329,,v1
all,WEAK_REPAIR,49,0.03184654670689302,0.6326530612244898,2.019834756557438,1.5604807886377579,0.33333333333333326,-0.08285714285714287,0.02556557198550884,v1
2018-2019,WEAK_REPAIR,18,0.019694912257235537,0.5555555555555556,1.9448091956247395,0.3545084206302397,0.33333333333333326,-0.08285714285714287,0.001245593370406258,v1
2020-2021,WEAK_REPAIR,11,0.035244364089437354,0.6363636363636364,2.591666466217989,0.3876880049838109,0.19753086419753074,-0.050724637681159306,0.019015714078628017,v1
2022-2023,WEAK_REPAIR,14,0.014351634263372336,0.5714285714285714,1.3036299691586504,0.2009228796872127,0.16755319148936176,-0.0573333333333333,0.0025668990921423793,v1
2024-2025,WEAK_REPAIR,6,0.1028935805560824,1.0,,0.6173614833364944,0.19999999999999996,0.032619775739041824,0.0834722966672989,v1
all,ACCELERATION,49,0.020556336491548314,0.6938775510204082,1.3413372505626024,1.0072604880858673,0.24444444444444452,-0.08017621145374451,0.01589200090919631,v1
2018-2019,ACCELERATION,18,0.02476684079309143,0.7777777777777778,0.9128927260427638,0.4458031342756458,0.24444444444444452,-0.08017621145374451,0.011844628813600072,v1
2020-2021,ACCELERATION,5,0.004092079244860669,0.4,1.8788007865204777,0.020460396224303345,0.07999999999999995,-0.05102040816326524,-0.01488490094392415,v1
2022-2023,ACCELERATION,16,0.01628270152142521,0.6875,1.1770068686685002,0.26052322434280334,0.07920792079207928,-0.05600000000000005,0.012087686903381602,v1
2024-2025,ACCELERATION,10,0.028047373324311498,0.7,3.0618708659224008,0.280473733243115,0.15454545454545449,-0.020715630885122415,0.013992030966406718,v1
all,HIGH_DIVERGENCE,1,0.027472527472527496,1.0,,0.027472527472527496,0.027472527472527496,0.027472527472527496,,v1
2018-2019,HIGH_DIVERGENCE,1,0.027472527472527496,1.0,,0.027472527472527496,0.027472527472527496,0.027472527472527496,,v1
all,RECESSION,55,0.009899559589484004,0.6545454545454545,0.9488174068144416,0.5444757774216202,0.07949999999999999,-0.07407407407407414,0.008610662544844822,v1
2018-2019,RECESSION,19,0.012519109097805093,0.6842105263157895,1.1201356236377942,0.23786307285829675,0.05555555555555539,-0.049327354260089634,0.010128195405707854,v1
2020-2021,RECESSION,13,0.007200958036987114,0.6153846153846154,0.9823856070573702,0.09361245448083248,0.07949999999999999,-0.07120085015940487,0.0011760378734027082,v1
2022-2023,RECESSION,12,0.015697397136794185,0.6666666666666666,1.0602605774877982,0.1883687656415302,0.07550644567219156,-0.07407407407407414,0.010260210906303514,v1
2024-2025,RECESSION,11,0.002239225858269161,0.6363636363636364,0.6479257254998811,0.02463148444096077,0.0713422007255139,-0.06118143459915612,-0.004671071628455313,v1
all,EXTREME_PANIC,5,0.0626525981689318,1.0,,0.31326299084465903,0.08485856905158067,0.03164556962025305,0.05710110544826958,v1
2018-2019,EXTREME_PANIC,1,0.06232763375620533,1.0,,0.06232763375620533,0.06232763375620533,0.06232763375620533,,v1
2020-2021,EXTREME_PANIC,2,0.07864489373410036,1.0,,0.15728978746820071,0.08485856905158067,0.07243121841662004,0.07243121841662004,v1
2022-2023,EXTREME_PANIC,2,0.046822784810126486,1.0,,0.09364556962025297,0.06199999999999992,0.03164556962025305,0.03164556962025305,v1
