feature,bucket,count,mean,mean_return,win_rate,total_profit
open_gap,Q1_low,34,-0.038230353528085875,0.01179167301725192,0.6176470588235294,0.40091688258656527
open_gap,Q2,34,-0.03593752434586778,0.018850002355670484,0.5882352941176471,0.6409000800927964
open_gap,Q3,33,-0.034061854084332786,0.011261111511560428,0.6363636363636364,0.37161667988149416
open_gap,Q4,34,-0.031939845586962556,0.04015060851412097,0.7058823529411765,1.3651206894801131
open_gap,Q5_high,34,-0.03058529497288606,0.0214546776724469,0.7352941176470589,0.7294590408631946
candidate_relative_to_cohort,Q1_low,34,-0.0595668895608362,0.019079727425021852,0.7058823529411765,0.648710732450743
candidate_relative_to_cohort,Q2,34,-0.0530562549829483,0.013121627302842762,0.6176470588235294,0.4461353282966539
candidate_relative_to_cohort,Q3,33,-0.048943939110772175,0.015413931696523952,0.5757575757575758,0.5086597459852904
candidate_relative_to_cohort,Q4,34,-0.04207383094163721,0.01993939154644589,0.6470588235294118,0.6779393125791602
candidate_relative_to_cohort,Q5_high,34,-0.031353646538371,0.03607553687036224,0.7352941176470589,1.2265682535923161
candidate_relative_to_market,Q1_low,34,-0.03934404341955943,0.012154459639154592,0.5882352941176471,0.4132516277312561
candidate_relative_to_market,Q2,34,-0.034859546150341085,0.02958530547022328,0.6764705882352942,1.0059003859875915
candidate_relative_to_market,Q3,33,-0.03207702053425072,0.02977169230754996,0.7272727272727273,0.9824658461491487
candidate_relative_to_market,Q4,34,-0.029939903461661956,0.015530292709736179,0.6470588235294118,0.5280299521310301
candidate_relative_to_market,Q5_high,34,-0.020217882352881134,0.017010751791327557,0.6470588235294118,0.5783655609051369
first_board_cohort_open_gap_mean,Q1_low,34,-0.0021568165616104927,0.03276347997571975,0.7058823529411765,1.1139583191744715
first_board_cohort_open_gap_mean,Q2,34,0.008435723659418085,0.026900620514003,0.6764705882352942,0.914621097476102
first_board_cohort_open_gap_mean,Q3,33,0.013770372296373049,0.012003515220588677,0.6363636363636364,0.39611600227942634
first_board_cohort_open_gap_mean,Q4,34,0.01867334506310084,0.006887178781584443,0.5,0.23416407857387106
first_board_cohort_open_gap_mean,Q5_high,34,0.025484366725911114,0.02497511398236155,0.7647058823529411,0.8491538754002927
market_open_positive_rate,Q1_low,34,0.08035046002037634,0.01153843017962506,0.6470588235294118,0.39230662610725203
market_open_positive_rate,Q2,34,0.2251766916214487,0.019626956651471267,0.5882352941176471,0.6673165261500231
market_open_positive_rate,Q3,33,0.312046353798152,0.016243488703368534,0.6363636363636364,0.5360351272111616
market_open_positive_rate,Q4,34,0.384399731301451,0.024749721792295357,0.7352941176470589,0.8414905409380421
market_open_positive_rate,Q5_high,34,0.5990851502113188,0.031496016249931896,0.6764705882352942,1.0708645524976845
market_open_below_minus3_count,Q1_low,34,31.08823529411765,0.031128851267579263,0.7058823529411765,1.058380943097695
market_open_below_minus3_count,Q2,34,50.911764705882355,0.014408406739613668,0.6764705882352942,0.4898858291468647
market_open_below_minus3_count,Q3,35,73.42857142857143,0.02888307721299889,0.6857142857142857,1.010907702454961
market_open_below_minus3_count,Q4,32,111.875,0.004744729437970415,0.53125,0.15183134201505327
market_open_below_minus3_count,Q5_high,34,486.94117647058823,0.023441398711458512,0.6764705882352942,0.7970075561895894
