date,code,list_rank,bought,open_gap,candidate_relative_to_cohort,candidate_relative_to_market,sector_l1,sector_limit_up_count,sector_first_board_count,candidate_return_to_close,candidate_prev_is_limit_up,candidate_prev_is_first_board,candidate_prev_board_height,candidate_prev_return,T1_emotion_state_v1,T1_emotion_heat,T1_emotion_momentum,T1_emotion_stress,sector_broken_board_rate,sector_advance_ratio,sector_mean_return,sector_max_board_height,open_gap_rank,candidate_relative_to_cohort_rank,candidate_relative_to_market_rank,sector_limit_up_count_rank,composite_score,composite_rank
2018-01-12,000070.XSHE,0,False,-0.0146771595,,-0.013650438,机械设备,,,-0.022840075,,,,,ACCELERATION,0.737111111111111,0.3350584560464078,0.5439999999999999,,,,,4.0,,4.0,,-0.4398351510365804,4.0
2018-01-12,600209.XSHG,1,False,0.0,,0.0010267219,纺织服饰,,,-0.042869702,,,,,ACCELERATION,0.737111111111111,0.3350584560464078,0.5439999999999999,,,,,2.0,,2.0,,0.04028313855330149,2.0
2018-01-12,002848.XSHE,2,False,0.010101015,,0.011127736,,,,0.012352888,,,,,ACCELERATION,0.737111111111111,0.3350584560464078,0.5439999999999999,,,,,1.0,,1.0,,0.37070687611897785,1.0
2018-01-12,002847.XSHE,3,False,-0.00034965834,,0.0006770636,机械设备,,,0.004896796,,,,,ACCELERATION,0.737111111111111,0.3350584560464078,0.5439999999999999,,,,,3.0,,3.0,,0.02884513884782791,3.0
2018-01-15,000935.XSHE,1,False,-0.044190638,-0.06649520248174667,-0.04246646,电子,1.0,1.0,-0.035844184,True,True,1.0,0.09994538128376007,RECESSION,0.38266666666666665,-0.17777777777777776,0.816,0.75,0.21311475409836064,-0.004412428941577673,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2018-01-17,000550.XSHE,0,False,0.100278504,0.06593812257051468,0.10082691,传媒,1.0,1.0,0.0,True,True,1.0,0.09987752139568329,HIGH_DIVERGENCE,0.7160000000000002,-0.02111111111111086,0.5533333333333333,0.0,0.6962025316455697,0.007883124053478241,1.0,1.0,1.0,1.0,2.0,0.8803281518883711,1.0
2018-01-17,002400.XSHE,1,False,-0.024475502,-0.05881588160991669,-0.023927093,,,,-0.04301071,True,True,1.0,0.10000000149011612,HIGH_DIVERGENCE,0.7160000000000002,-0.02111111111111086,0.5533333333333333,,,,,8.0,8.0,8.0,,-1.4701983517844868,8.0
2018-01-17,002848.XSHE,2,False,0.041173127,0.006832744926214218,0.041721534,银行,0.0,0.0,-0.014626141,True,True,1.0,0.09987584501504898,HIGH_DIVERGENCE,0.7160000000000002,-0.02111111111111086,0.5533333333333333,0.0,0.7,-0.009667020291090012,0.0,4.0,4.0,4.0,4.0,-0.3448878268469892,5.0
2018-01-17,002868.XSHE,3,False,0.016211934,-0.018128447234630585,0.016760344,国防军工,0.0,0.0,-0.019844366,True,True,1.0,0.10004355013370514,HIGH_DIVERGENCE,0.7160000000000002,-0.02111111111111086,0.5533333333333333,1.0,0.7241379310344828,0.002756044501438737,0.0,6.0,6.0,6.0,4.0,-0.6899069921206054,6.0
2018-01-17,600463.XSHG,4,False,0.099686064,0.06534568220376968,0.10023447,通信,0.0,0.0,0.0,True,True,1.0,0.10017269849777222,HIGH_DIVERGENCE,0.7160000000000002,-0.02111111111111086,0.5533333333333333,1.0,0.5714285714285714,0.004426206927746534,0.0,3.0,3.0,3.0,4.0,0.4638910381214823,3.0
